Rating(technical and programming),Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Rating(soft skills),Score,Year_encoded,Current Course_encoded,Technical Skill_encoded,Programming Languages_encoded,Projects_encoded,Career Interest_encoded,Challenges_encoded,Support-required_encoded,Soft Skills_encoded
1.3939626832143468,-1.3055697290625046,0.16804362710008086,0.9298807928833348,0.9166709789633513,0.7439340083892275,1.4842488385808086,-0.9759150447347723,0.975685155601072,-1.4013803582807538,1.0889163591892044,0,1,7,9,1,3,4,0,7
1.3939626832143468,0.5702488471767262,1.0642763049671788,1.5793900777843837,-0.6589065029262173,1.2753154429529614,1.2243103379536966,0.9080908331315832,-0.7823061157522111,1.4426183393970824,2.4359599456301564,1,4,6,2,0,2,2,1,5
-0.016930720848757262,0.3022747648568361,1.0642763049671788,0.28037150798228605,-0.34379100654830363,0.7439340083892275,-1.375074668317421,0.280088873842798,-0.5625572068330508,-0.6903806838612948,-0.005556554794069138,2,3,3,2,1,1,2,0,3
1.3939626832143468,0.034300682536945966,1.2883344744339533,-1.6681563467208602,-0.34379100654830363,1.5410061602348282,0.18455633544524958,0.9080908331315832,0.31643842884359086,1.4426183393970824,1.341487031646883,3,5,8,5,0,3,0,1,2
-0.7223774228803093,1.3741710941363965,-0.728189050767017,0.06386841301526978,-1.2891374956820447,0.4782432911073606,-0.8551976670631976,-0.34791308544598715,0.31643842884359086,0.7316186649776233,-0.25812722725174764,1,4,8,9,0,2,1,3,4
1.3939626832143468,-1.3055697290625046,1.0642763049671788,1.3628869828173673,-0.34379100654830363,-0.8502102953019739,1.4842488385808086,0.5940898534871906,-0.7823061157522111,0.7316186649776233,1.004726135036645,0,0,14,9,1,1,3,1,3
-1.4278241249118613,1.6421451764562867,0.6161599660336298,0.4968746029493023,-0.9740219993041311,-1.3815917298657077,1.4842488385808086,1.5360927924203684,-1.4415528425096924,-1.4013803582807538,-0.08974677894662865,2,2,7,7,0,0,3,3,7
1.3939626832143468,0.8382229294966163,-0.05601454236669362,1.3628869828173673,-0.6589065029262173,-1.6472824471475747,-0.33532066580897396,-0.6619140650903798,0.7559362466819116,1.4426183393970824,0.7521554625789664,1,4,15,1,1,5,5,3,3
-0.7223774228803093,-0.5016474821028343,1.2883344744339533,-0.585640871885779,0.2864399862075238,-1.6472824471475747,-0.07538216518186219,-0.6619140650903798,0.09668951992443046,0.7316186649776233,-0.5106978997094261,2,0,11,2,1,1,4,3,1
-1.4278241249118613,0.034300682536945966,-0.728189050767017,-0.585640871885779,-0.34379100654830363,0.2125525738254937,1.2243103379536966,-0.9759150447347723,1.6349318823585532,1.4426183393970824,0.24701411766360937,3,1,14,10,1,0,3,2,5
